identifier	name
AT1G09430	F19J9-9
AT1G09440	AT1G09440
AT1G09450	AT1G09450
AT1G09460	AT1G09460
AT1G09470	AT1G09470
AT1G09480	AT1G09480
AT1G09483	AT1G09483
AT1G09490	AT1G09490
AT1G09500	AT1G09500
AT1G09510	AT1G09510
AT1G09520	AT1G09520
AT1G09530	AT1G09530
AT1G09540	AT1G09540
AT1G09550	AT1G09550
AT1G09560	AT1G09560
AT1G09570	AT1G09570
AT1G09575	AT1G09575
AT1G09580	AT1G09580
AT1G09590	AT1G09590
AT1G09600	AT1G09600
AT1G09610	AT1G09610
AT1G09620	AT1G09620
AT1G09625	AT1G09625
AT1G09630	AT1G09630
AT1G09640	AT1G09640
AT1G09645	AT1G09645
AT1G09650	AT1G09650
AT1G09660	AT1G09660
AT1G09665	AT1G09665
AT1G09680	AT1G09680
AT1G09690	AT1G09690
AT1G09700	AT1G09700
AT1G09710	AT1G09710
AT1G09720	AT1G09720
AT1G09730	AT1G09730
AT1G09740	AT1G09740
AT1G09750	AED3
AT1G09760	AT1G09760
AT1G09770	AT1G09770
AT1G09780	AT1G09780
AT1G09790	AT1G09790
AT1G09794	AT1G09794
AT1G09795	AT1G09795
AT1G09800	AT1G09800
AT1G09810	AT1G09810
AT1G09812	AT1G09812
AT1G09815	AT1G09815
AT1G09820	AT1G09820
AT1G09830	AT1G09830
AT1G09840	AT1G09840
AT1G09850	AT1G09850
AT1G09860	AT1G09860
AT1G09870	AT1G09870
AT1G09880	AT1G09880
AT1G09890	F21M12-28
AT1G09900	AT1G09900
AT1G09910	AT1G09910
AT1G09920	F21M12-31
AT1G09930	AT1G09930
AT1G09932	AT1G09932
AT1G09935	AT1G09935
AT1G09940	AT1G09940
AT1G09950	AT1G09950
AT1G09960	AT1G09960
AT1G09970	AT1G09970
AT1G09980	AT1G09980
AT1G09995	AT1G09995
AT1G10000	T27I1-2
AT1G10010	AT1G10010
AT1G10020	AT1G10020
AT1G10030	AT1G10030
AT1G10040	AT1G10040
AT1G10050	AT1G10050
AT1G10060	AT1G10060
AT1G10070	AT1G10070
AT1G10090	AT1G10090
AT1G10095	T27I1-12
AT1G10100	T27I1-17
AT1G10110	AT1G10110
AT1G10120	AT1G10120
AT1G10130	AT1G10130
AT1G10140	AT1G10140
AT1G10150	AT1G10150
AT1G10155	AT1G10155
AT1G10170	AT1G10170
AT1G10180	AT1G10180
AT1G10190	AT1G10190
AT1G10200	AT1G10200
AT1G10210	AT1G10210
AT1G10220	AT1G10220
AT1G10225	AT1G10225
AT1G10230	AT1G10230
AT1G10240	AT1G10240
AT1G10250	F14N23-13
AT1G10270	AT1G10270
AT1G10280	AT1G10280
AT1G10290	AT1G10290
