p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.9134481593668023e-11	0.3850888304313864	0.348	0.233	1.0812465919514537e-6	Meristematic cell	AT5G06190
3.988285881390343e-11	1.8204863930674824	0.036	0.008	1.101923506169338e-6	Meristematic cell	AT5G24900
4.002447568801259e-11	1.6209554939935673	0.046	0.013	1.1058362387841e-6	Meristematic cell	AT5G19210
4.0529225077231365e-11	0.13712544002797156	0.608	0.435	1.1197819596588253e-6	Meristematic cell	AT3G27160
4.1302621354679656e-11	1.1621030454724615	0.042	0.011	1.1411501254084442e-6	Meristematic cell	AT4G17600
4.1741355052537837e-11	0.22495037480338187	0.457	0.324	1.1532718987465678e-6	Meristematic cell	AT5G13010
4.20757990367459e-11	0.31485770241391675	0.237	0.146	1.1625122515862524e-6	Meristematic cell	AT3G02980
4.223824299977444e-11	0.15104440016276444	0.925	0.764	1.167000415840768e-6	Meristematic cell	AT1G01050
4.444313059265265e-11	0.1880458222174981	0.579	0.409	1.2279192551444e-6	Meristematic cell	AT1G14360
4.462190383536432e-11	1.249591238116941	0.058	0.02	1.2328585810672808e-6	Meristematic cell	AT2G07680
4.4713117358733565e-11	0.13778247892037498	0.25	0.152	1.2353787195044497e-6	Meristematic cell	AT2G32840
4.5095244165775214e-11	0.2659458466187674	0.312	0.205	1.2459365010562033e-6	Meristematic cell	AT3G18270
4.5163526054235605e-11	0.26748403313961955	0.231	0.142	1.2478230613524754e-6	Meristematic cell	AT5G62790
4.597701035677406e-11	0.2742137145549606	0.147	0.078	1.2702988191473105e-6	Meristematic cell	AT2G42950
4.698814898775367e-11	0.6960902254735695	0.093	0.042	1.2982355683826463e-6	Meristematic cell	AT5G49440
4.752938703390392e-11	0.6089776231110129	0.121	0.06	1.3131894343597315e-6	Meristematic cell	AT4G28660
4.793652500619558e-11	0.22906206011936625	0.1	0.045	1.3244382493961776e-6	Meristematic cell	AT2G31180
4.8004796248332944e-11	0.3185161303619308	0.26	0.165	1.3263245155451909e-6	Meristematic cell	AT5G51340
4.825366746185654e-11	0.28265529748730867	0.359	0.246	1.3332005783036344e-6	Meristematic cell	AT4G10130
4.849177058092167e-11	0.37704399479817674	0.167	0.094	1.3397791293802848e-6	Meristematic cell	AT4G00650
4.9439527300405345e-11	0.1606471042329327	0.576	0.389	1.3659646997828993e-6	Meristematic cell	AT1G09580
5.0099260683289985e-11	0.25219595206456313	0.282	0.181	1.384192473418619e-6	Meristematic cell	AT5G06120
5.017280828431009e-11	3.710240112683624	0.016	0.001	1.3862245200872035e-6	Meristematic cell	AT1G65130
5.1166661252159775e-11	4.425754397214052	0.016	0.001	1.4136836837359225e-6	Meristematic cell	AT1G68240
5.147631831355655e-11	3.0889473223423227	0.016	0.001	1.422239198685254e-6	Meristematic cell	AT2G34230
5.1728258599944917e-11	0.9770026230708933	0.07	0.027	1.4292000568578781e-6	Meristematic cell	AT4G32700
5.177507053203204e-11	0.24355089237841865	0.245	0.151	1.4304934237295133e-6	Meristematic cell	AT1G29550
5.202263530111258e-11	2.589310903232626	0.016	0.001	1.4373333907344396e-6	Meristematic cell	AT1G52430
5.209462628132044e-11	0.18852825983696953	0.697	0.593	1.4393224295266026e-6	Meristematic cell	AT5G12020
5.2258503724366816e-11	3.086525543386146	0.016	0.001	1.4438501994005307e-6	Meristematic cell	AT3G28635
